team,avg_squad_age,age_score
Algeria,26.65,0.9649999999999999
Argentina,25.71641791044776,0.871641791044776
Australia,27.75,0.925
Austria,27.107142857142858,0.9892857142857142
Belgium,25.6875,0.86875
Bosnia and Herzegovina,28.666666666666668,0.8333333333333333
Brazil,25.29113924050633,0.8291139240506329
Cameroon,23.818181818181817,0.6818181818181817
Canada,24.166666666666668,0.7166666666666668
Colombia,27.833333333333332,0.9166666666666667
Czech Republic,25.9,0.8899999999999999
Ecuador,22.666666666666668,0.5666666666666668
Egypt,27.25,0.975
England,25.533783783783782,0.8533783783783783
France,24.442622950819672,0.7442622950819672
Germany,26.076923076923077,0.9076923076923077
Ghana,25.347826086956523,0.8347826086956524
Haiti,25.75,0.875
Hungary,28.666666666666668,0.8333333333333333
Italy,25.61046511627907,0.8610465116279069
Ivory Coast,25.243243243243242,0.8243243243243242
Japan,25.05263157894737,0.805263157894737
Jordan,28.0,0.9
Mali,25.125,0.8125
Mexico,26.2,0.9199999999999999
Morocco,24.256410256410255,0.7256410256410255
Netherlands,25.695652173913043,0.8695652173913043
New Zealand,33.0,0.4
Nigeria,24.928571428571427,0.7928571428571427
Norway,24.93548387096774,0.793548387096774
Panama,29.0,0.8
Paraguay,25.0,0.8
Poland,26.45,0.945
Portugal,25.274509803921568,0.8274509803921568
Saudi Arabia,26.0,0.9
Scotland,26.285714285714285,0.9285714285714285
Senegal,24.0,0.7
Serbia,25.904761904761905,0.8904761904761905
Slovakia,27.22222222222222,0.9777777777777779
Slovenia,26.75,0.975
South Korea,26.25,0.925
Spain,25.899686520376175,0.8899686520376175
Sweden,24.20689655172414,0.7206896551724139
Tunisia,27.666666666666668,0.9333333333333332
Turkey,23.6875,0.66875
United States,23.61904761904762,0.661904761904762
Uruguay,26.652173913043477,0.9652173913043477
Uzbekistan,21.0,0.4
